Document Name,Document Code,Area Name,Assigned Groups,Classification,Meta,Document Type,Last updated by,Action performed,Last update date,Doc Type,Notes

Privacy Glossary,81ecbeb7,Integration,Answer Docs Access | EnwisenAdmin | HR | PL480 | ,Administration | General | ,Domain:integration | keywords:[*keywords*] | Role:[*role*] | Role:[*role1*] | Role:[*role2*] | Subject:[*subject*] | Subject:[*subject2*] | ,Content Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:15:02.257,,http://in.providence.org/sss/resources/documentscentral/policies/Documents/Providence-wide%20Policies/800%20-%20Privacy%20and%20Security/PROV-PSEC-805%20-%20Privacy%20Glossary.pdf

Employee Development Plan,5c0d5,Career,Answer Docs Access | EnwisenAdmin | HR | PL430 | ,Administration | General | ,Domain:career | Subject:eedev | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:14:53.140,doc,
Employee Disclosure Requirements,7ed9b,Employment,Answer Docs Access | EnwisenAdmin | HR | PL330 | ,Administration | General | ,Domain:employment | Subject:eepolicy2 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:24:29.240,pdf,
Employee Disclosure Requirements,abf31,Employment,Answer Docs Access | EnwisenAdmin | HR | SMC | ,Administration | General | ,Domain:employment | Subject:eepolicy2 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:24:29.240,pdf,
Employee Education Assistance Program ,610f1be0,Employment,AK | Answer Docs Access | EnwisenAdmin | HR | ,Administration | General | ,Domain:employment | Subject:eepolicy1 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:24:29.287,pdf,posting code a8a1c

Employee Emergency Fund,ec80d,Forms,Answer Docs Access | EDM | EnwisenAdmin | HR | ,Administration | General | ,Domain:forms | Subject:hr | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:07:24.563,pdf,
Employee Handbook,36da2a73,Employment,Answer Docs Access | EnwisenAdmin | HR | SMG | ,Administration | General | ,Domain:employment | Subject:eepolicy4 | ,Uploaded Document,PRVaboures,Document Published successfully to Live server,2014-06-12 10:14:15.867,pdf,
Employee Health Records,1e216,Employment,Answer Docs Access | EnwisenAdmin | HR | PL325 | PL327 | ,Administration | General | ,Domain:employment | Subject:eepolicy8 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:25:10.707,pdf,
Employee Health Records,3e66a,Employment,Answer Docs Access | EnwisenAdmin | HR | PL420 | WA38 | ,Administration | General | ,Domain:employment | Subject:eepolicy8 | ,Uploaded Document,avillarojo,Document Published successfully to QA server,2015-02-26 21:33:54.767,pdf,
Employee Health Requirements and Services,441a1,Employment,Answer Docs Access | EnwisenAdmin | HR | PL380 | ,Administration | General | ,Domain:employment | Subject:eepolicy8 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:25:10.720,pdf,
Employee Informed Refusal of Treatment Form,9871f,Forms,Answer Docs Access | EnwisenAdmin | HR | MJM | ,Administration | General | ,Domain:forms | Subject:hr | ,Uploaded Document,PRVaboures,Undo Check out for edit,2014-05-28 16:14:37.890,pdf,
Employee Parking,b042f,Employment,Answer Docs Access | EnwisenAdmin | HR | PL375 | ,Administration | General | ,Domain:employment | Subject:eepolicy7 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:25:10.783,pdf,
Paid Time Off Details,f65d3,Leave and Time Off,Answer Docs Access | EnwisenAdmin | HR | PL370 | PL375 | ,Administration | General | ,Domain:leave | Subject:pto | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:17:38.913,pdf,
Paid Time-Off and Extended Illness Bank,d9690,Policies,Answer Docs Access | EnwisenAdmin | HR | WA244 | ,Administration | General | ,Domain:employment | Subject:eepolicy1 | ,Uploaded Document,PRVaboures,Document Published successfully to Live server,2015-07-27 19:33:59.283,pdf,
Parking and Commuting Application Forms,876c7df2,Integration,Answer Docs Access | EnwisenAdmin | HR | SMC | ,Administration | General | ,Domain:forms | keywords:[*keywords*] | Role:[*role1*] | Role:[*role2*] | Subject:[*subject*] | ,Content Document,ksantos,Undo Check out for edit,2014-05-24 06:04:51.000,,http://swedishonline.swedish.org/Departments/MP/parking/Pages/Forms.aspx
Patient Handling Incident Investigation Checklist,4cd4b,Forms,Answer Docs Access | EnwisenAdmin | HR | LCM | SFVNo784 | ,Administration | General | ,Domain:forms | Subject:safety | ,Uploaded Document,PRVaboures,Document Published successfully to Live server,2014-12-19 13:55:15.267,pdf,
Pay Deductions and Setoffs,ebed8,Employment,Answer Docs Access | EnwisenAdmin | HR | PL353 | ,Administration | General | ,Domain:employment | Subject:eepolicy1 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:51:00.817,pdf,
Pay Procedure,74c33,Employment,Answer Docs Access | EnwisenAdmin | HR | PL422 | ,Administration | General | ,Domain:employment | Subject:eepolicy1 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:51:00.877,pdf,
Paychecks,5503b,Employment,Answer Docs Access | EnwisenAdmin | HR | PL380 | ,Administration | General | ,Domain:employment | Subject:eepolicy1 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:51:00.927,pdf,
Paydays,3bf3d,Employment,Answer Docs Access | EnwisenAdmin | HR | PL353 | ,Administration | General | ,Domain:employment | Subject:eepolicy1 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:51:00.927,pdf,
Payroll,abbb1,Employment,Answer Docs Access | EnwisenAdmin | HR | PL430 | ,Administration | General | ,Domain:employment | Subject:eepolicy1 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:51:00.957,pdf,
Payroll Deductions,ac119,Employment,Answer Docs Access | EnwisenAdmin | HR | PL380 | ,Administration | General | ,Domain:employment | Subject:eepolicy1 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:51:00.957,pdf,
Payroll Intranet Site,53a30289,Integration,Answer Docs Access | EnwisenAdmin | HR | PL365 | ,Administration | General | ,Domain:integration | keywords:[*keywords*] | Role:[*role*] | Role:[*role1*] | Role:[*role2*] | Subject:[*subject*] | Subject:[*subject2*] | ,Content Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:15:02.083,,http://in.providence.org/SSS/DEPARTMENTS/FINANCE/PAYROLL/Pages/default.aspx

Leave of Absence – Bereavement,845846e8,Employment,Answer Docs Access | EnwisenAdmin | HR | PL400 | ,Administration | General | ,Domain:employment | Subject:eepolicy5 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:45:14.383,pdf,
Leave of Absence - Educational,228b1,Employment,Answer Docs Access | EnwisenAdmin | HR | PL420 | WA38 | ,Administration | General | ,Domain:employment | Subject:eepolicy5 | ,Uploaded Document,avillarojo,Document Published successfully to QA server,2015-02-26 22:49:46.523,pdf,
Leave of Absence - Educational,b7990,Employment,Answer Docs Access | EnwisenAdmin | HR | WA34 | WA65 | WA66 | ,Administration | General | ,Domain:employment | Subject:eepolicy5 | ,Uploaded Document,PRVaboures,Document Published successfully to Live server,2015-07-24 20:26:41.943,pdf,
Leave of Absence – Educational,f2d75,Employment,Answer Docs Access | EnwisenAdmin | HR | PL333 | PL340 | ,Administration | General | ,Domain:employment | Subject:eepolicy5 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:45:14.663,pdf,
Leave of Absence – Educational,ffbb4,Employment,Answer Docs Access | EnwisenAdmin | HR | PL338 | ,Administration | General | ,Domain:employment | Subject:eepolicy5 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:45:14.663,pdf,
Leave of Absence - FMLA,40ecb,Employment,Answer Docs Access | EnwisenAdmin | HR | WA113 | WA132 | ,Administration | General | ,Domain:employment | Subject:eepolicy5 | ,Uploaded Document,PRVaboures,Document Published successfully to Live server,2015-07-20 19:18:12.003,pdf,
Leave of Absence - FMLA,8334b,Employment,Answer Docs Access | EnwisenAdmin | HR | KB Consultant | SMC | ,Administration | General | Workbook | ,Domain:employment | Subject:eepolicy5 | ,Uploaded Document,PRVaboures,Document Published successfully to Live server,2014-08-04 12:18:29.703,pdf,
Leave of Absence - FMLA,ee5ab,Employment,Answer Docs Access | EnwisenAdmin | HR | PL403 | ,Administration | General | ,Domain:employment | Subject:eepolicy5 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:45:14.943,pdf,
Leave of Absence - Medical,8813e,Employment,Answer Docs Access | EnwisenAdmin | HR | PL403 | ,Administration | General | ,Domain:employment | Subject:eepolicy5 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:45:15.117,pdf,
Leave of Absence - Medical,e6851,Employment,Answer Docs Access | EnwisenAdmin | HR | WA244 | ,Administration | General | ,Domain:employment | Subject:eepolicy5 | ,Uploaded Document,PRVaboures,Document Published successfully to Live server,2015-07-27 19:12:29.830,pdf,
Leave of Absence – Medical,1bdf0,Employment,Answer Docs Access | EnwisenAdmin | HR | PL333 | PL335 | PL340 | ,Administration | General | ,Domain:employment | Subject:eepolicy5 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:46:06.113,pdf,
Leave of Absence - Medical (Non-FMLA),4573c,Employment,Answer Docs Access | EnwisenAdmin | HR | PL316 | ,Administration | General | ,Domain:employment | Subject:eepolicy5 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:46:06.130,pdf,
Paid Time Off and Extended Illness Bank,1c64f3a9,Employment,Answer Docs Access | EnwisenAdmin | HR | PL313 | WA8 | ,Administration | General | ,Domain:employment | Subject:eepolicy1 | ,Uploaded Document,mempeynado,Document Published successfully to Stage server,2015-02-26 21:33:03.973,pdf,
Paid Time Off and Extended Illness Benefit,dc953,Policies,Answer Docs Access | EnwisenAdmin | ,Administration | ,Domain:employment | Subject:eepolicy1 | ,Uploaded Document,RKarath,Assigned Group : Answer Docs Access,2014-09-15 13:23:10.733,pdf,
Paid Time-Off (PTO),4714a,Employment,Answer Docs Access | EnwisenAdmin | HR | PL390 | ,Administration | General | ,Domain:leave | Subject:eepolicy1 | ,Uploaded Document,PRVaboures,Document Published successfully to Live server,2015-01-19 20:17:56.340,doc,
Paid Time-Off and Extended Illness Bank,4091f,Policies,Answer Docs Access | EnwisenAdmin | HR | PL430 | ,Administration | General | ,Domain:employment | Subject:eepolicy1 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:34:17.710,pdf,
Parking,0c63f,Employment,Answer Docs Access | EnwisenAdmin | HR | PL353 | ,Administration | General | ,Domain:employment | Subject:eepolicy7 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:51:00.753,pdf,
Parking,c37c49ae,Employment,Answer Docs Access | EnwisenAdmin | HR | PACMED | ,Administration | General | ,Domain:employment | Subject:eepolicy4 | ,Uploaded Document,cpeterson,Assigned Group : EnwisenAdmin,2015-05-11 15:10:58.513,pdf,
Pay Check Errors,33fa2,Employment,Answer Docs Access | EnwisenAdmin | HR | PL400 | ,Administration | General | ,Domain:employment | Subject:eepolicy1 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:51:00.783,pdf,
Payroll Deductions,38d8a,Employment,Answer Docs Access | EnwisenAdmin | HR | PL390 | ,Administration | General | ,Domain:employment | Subject:eepolicy1 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:51:00.973,pdf,
Performance and Development Process,193b2,Employment,Answer Docs Access | EnwisenAdmin | HR | PL316 | ,Administration | General | ,Domain:employment | Subject:eepolicy4 | ,Uploaded Document,PRVaboures,Document Published successfully to Live server,2015-02-09 16:36:50.097,pdf,
Performance and Development Process,9ffa9,Employment,Answer Docs Access | EnwisenAdmin | HR | PSMS-All | ,Administration | General | ,Domain:employment | Subject:eepolicy4 | ,Uploaded Document,PRVaboures,Undo Check out for configuration,2015-02-06 17:11:03.497,pdf,
Performance and Development Process,c0e6d,Employment,Answer Docs Access | EnwisenAdmin | HR | WA34 | WA65 | WA66 | ,Administration | General | ,Domain:employment | Subject:eepolicy4 | ,Uploaded Document,PRVaboures,Document Published successfully to Live server,2015-07-27 12:09:32.750,pdf,
PRMCE PTO Cash Out,26a7f9cc,Integration,Answer Docs Access | EnwisenAdmin | HR | PL316 | ,Administration | General | ,Domain:integration | keywords:[*keywords*] | Role:[*role*] | Role:[*role1*] | Role:[*role2*] | Subject:[*subject*] | Subject:[*subject2*] | ,Content Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:15:02.270,,http://region.wa.providence.org/business/hr/PTOCashOut/LoginForm.aspx?ReturnUrl=%2fbusiness%2fhr%2fptocashout%2f
Professional or Technical 10 Hour Work Schedule,1f07a,Forms,Answer Docs Access | EDM | EnwisenAdmin | HR | ,Administration | General | ,Domain:forms | Subject:policies | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:10:15.057,pdf,
Professional or Technical 12 Hour Work Schedule,5b2df,Forms,Answer Docs Access | EDM | EnwisenAdmin | HR | ,Administration | General | ,Domain:forms | Subject:policies | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:10:15.073,pdf,
Professional Values Program (LCM),d1b1a,Forms,Answer Docs Access | EnwisenAdmin | HR | LCM | ,Administration | General | ,Domain:forms | Subject:pay | ,Uploaded Document,RKarath,Document Published successfully to Live server,2014-07-03 21:03:21.907,pdf,
Progressive Discipline,adf34,Employment,Answer Docs Access | EnwisenAdmin | HR | PL352 | ,Administration | General | ,Domain:employment | Subject:eepolicy4 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:57:23.347,pdf,
Prohibition Against Employment of Excluded Providers,7dc61,Employment,Answer Docs Access | EnwisenAdmin | HR | PL400 | ,Administration | General | ,Domain:employment | Subject:eepolicy2 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:57:23.440,pdf,
ProvCareers,ea2a39f3,Integration,Answer Docs Access | EnwisenAdmin | HR | PL460 | PL462 | PL465 | ,Administration | General | ,Domain:integration | keywords:[*keywords*] | Role:[*role*] | Role:[*role1*] | Role:[*role2*] | Subject:[*subject*] | Subject:[*subject2*] | ,Content Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:15:02.303,,https://recruiter.kenexa.com/providence/rc/Login.ss
Providence Core Leader,b7e2094d,Integration,Answer Docs Access | EnwisenAdmin | HR | OR | ,Administration | General | ,Domain:integration | keywords:[*keywords*] | Role:[*role*] | Role:[*role1*] | Role:[*role2*] | Subject:[*subject*] | Subject:[*subject2*] | ,Content Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:15:02.350,,http://in.providence.org/or/ProvidenceCoreLeader/Pages/default.aspx
Providence Federal Credit Union,aca4f1c0,Integration,Answer Docs Access | EnwisenAdmin | HR | PL430 | ,Administration | General | ,Domain:integration | keywords:[*keywords*] | Role:[*role*] | Role:[*role1*] | Role:[*role2*] | Subject:[*subject*] | Subject:[*subject2*] | ,Content Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:15:59.883,,https://www.providencecu.org/index.asp
Providence Region Building Mission Spirit Gym,310337a8,Integration,AK | Answer Docs Access | EnwisenAdmin | HR | ,Administration | General | ,Domain:integration | keywords:[*keywords*] | Role:[*role*] | Role:[*role1*] | Role:[*role2*] | Subject:[*subject*] | Subject:[*subject2*] | ,Content Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:15:59.930,,http://in.providence.org/ak/departments/occupationalhealth/Pages/MissionSpiritGym.aspx
Peak Health & Wellness Free Week,a1791,Benefits,Answer Docs Access | EnwisenAdmin | HR | PL460 | PL462 | ,Administration | General | ,Domain:clientinfo | Subject:fitness | ,Uploaded Document,ksantos,Document Published successfully to Live server,2014-05-10 01:55:23.970,pdf,
PEC Holiday Schedule,4093d,Leave and Time Off,Answer Docs Access | EnwisenAdmin | HR | PL353 | ,Administration | General | ,Domain:leave | Subject:holidays | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:17:52.360,pdf,
Per Diem Procedure (non-contract),9d27d,Forms,Answer Docs Access | EnwisenAdmin | HR | PL465 | ,Administration | General | ,Domain:forms | Subject:pay | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:10:14.823,doc,
Performance and Development Process,84edfc4d,Employment,Answer Docs Access | EnwisenAdmin | HR | PL460 | ,Administration | General | ,Domain:employment | Subject:eepolicy4 | ,Uploaded Document,mary,Assigned Group : EnwisenAdmin,2015-06-22 18:15:32.997,pdf,
Performance and Development Process,acbfbe8f,Employment,Answer Docs Access | CA | EnwisenAdmin | HR | ,Administration | General | ,Domain:employment | Subject:eepolicy4 | ,Uploaded Document,cpeterson,Assigned Group : EnwisenAdmin,2015-05-11 15:10:58.623,pdf,
Performance Improvement Plan (PIP) ,bce97,Manager,Answer Docs Access | EnwisenAdmin | HR | SMC | ,Administration | General | ,Subject:manager | Subject:pip | ,Uploaded Document,cpeterson,Document Published successfully to Live server,2015-03-04 13:39:30.127,doc,
Performance Management FAQs,3efb8,Manager,Answer Docs Access | EnwisenAdmin | HR | OR | ,Administration | General | ,Subject:manager | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:19:09.393,pdf,
Performance Planning and Review ANA and Laborers Union,c684d,Manager,AK | Answer Docs Access | EnwisenAdmin | HR | ,Administration | General | ,Subject:manager | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:21:50.293,pdf,
Performance Rating Descriptions,56f5b,Manager,Answer Docs Access | EnwisenAdmin | HR | LCM | SFVNo784 | ,Administration | General | ,Subject:manager | ,Uploaded Document,PRVaboures,Document Published successfully to Live server,2014-12-19 14:04:06.403,pdf,
Performance Review for Transfers,cc82e985,Manager,Answer Docs Access | EnwisenAdmin | HR | SMC | ,Administration | General | ,Role:mgr | Subject:goals | Subject:manager | Subject:pip | ,Content Document,cpeterson,Document Published successfully to Live server,2015-03-04 13:39:49.703,,
Performance Review Transfers Grid ,cb38f,Manager,Answer Docs Access | EnwisenAdmin | HR | SMC | ,Administration | General | ,Subject:manager | ,Uploaded Document,cpeterson,Document Published successfully to Live server,2015-03-04 13:40:10.997,pdf,
Interviewing - Relocation Reimbursement Program,ab124,Manager,Answer Docs Access | EnwisenAdmin | HR | PL316 | ,Administration | General | ,Subject:manager | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:20:18.253,pdf,
Introductory Period,23d3a,Employment,Answer Docs Access | EnwisenAdmin | HR | SMG | ,Administration | General | ,Domain:employment | Subject:eepolicy4 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:43:39.470,pdf,
Investigation Witness Disclosure and Acknowledgement Form,d58e0,Forms,Answer Docs Access | EnwisenAdmin | HR | SMC | ,Administration | General | ,Domain:forms | Subject:safety | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:08:49.083,doc,
IS - Admin Policy Information Handling,b15a9,Employment,Answer Docs Access | EnwisenAdmin | HR | MJM | ,Administration | General | ,Domain:employment | Subject:eepolicy2 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:43:39.567,pdf,
IS - Admin Policy Internet Posting Policy,c2169,Employment,Answer Docs Access | EnwisenAdmin | HR | MJM | ,Administration | General | ,Domain:employment | Subject:eepolicy | Subject:eepolicy2 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:43:39.580,pdf,
IS - Admin Policy Remote Access Swedish Workforce,f15bd,Employment,Answer Docs Access | EnwisenAdmin | HR | MJM | ,Administration | General | ,Domain:employment | Subject:eepolicy2 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:43:39.627,pdf,
IS - Admin Policy Remote Access Vendor Third Party,d3c62,Employment,Answer Docs Access | EnwisenAdmin | HR | MJM | ,Administration | General | ,Domain:employment | Subject:eepolicy2 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:43:39.643,pdf,
IS - Admin Policy Third Party Access,77839,Employment,Answer Docs Access | EnwisenAdmin | HR | MJM | ,Administration | General | ,Domain:employment | Subject:eepolicy2 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:43:39.643,pdf,
Job Description Search,3fcf44ec,Integration,Answer Docs Access | EnwisenAdmin | HR | SMC | ,Administration | General | ,Domain:integration | keywords:[*keywords*] | Role:[*role*] | Role:[*role1*] | Role:[*role2*] | Subject:[*subject*] | Subject:[*subject2*] | ,Content Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:13:32.447,,http://swedishonline.swedish.org/departments/EH/HR/Pages/jdTools.aspx

Job Description Template,f45be,Pay,Answer Docs Access | EnwisenAdmin | HR | PL340 | ,Administration | General | ,Subject:wages | ,Uploaded Document,PRVaboures,Document Published successfully to Live server,2014-06-23 16:31:47.767,doc,
Job Descriptions,bfb9a,Employment,Answer Docs Access | EDM | EnwisenAdmin | HR | ,Administration | General | ,Domain:employment | Subject:eepolicy4 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:43:39.690,pdf,
Employee Referral Program,5bf009e5,Employment,Answer Docs Access | EnwisenAdmin | HR | PACMED | ,Administration | General | ,Domain:employment | Subject:eepolicy1 | ,Uploaded Document,PRVaboures,Document Published successfully to Live server,2015-07-31 15:52:59.473,pdf,
Employee Relations,227c5,Employment,Answer Docs Access | EnwisenAdmin | HR | PL352 | ,Administration | General | ,Domain:employment | Subject:eepolicy4 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:25:10.940,pdf,
Employee Relations,6ce1b634,Employment,Answer Docs Access | EnwisenAdmin | HR | WA113 | WA132 | ,Administration | General | ,Domain:employment | Subject:eepolicy3 | ,Uploaded Document,PRVaboures,Document Published successfully to Live server,2015-06-30 10:07:37.770,pdf,
Employee Responsibilities,bde7a,Employment,Answer Docs Access | EnwisenAdmin | HR | PL400 | ,Administration | General | ,Domain:employment | Subject:eepolicy4 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:25:11.000,pdf,
Employee Rights Exclusion from Patient Care,345e9,Employment,Answer Docs Access | EDM | EnwisenAdmin | HR | ,Administration | General | ,Domain:employment | Subject:eepolicy7 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:25:11.063,pdf,
Employee Travel,81a2e,Employment,Answer Docs Access | EnwisenAdmin | HR | PL357 | PL358 | ,Administration | General | ,Domain:employment | Subject:eepolicy1 | ,Uploaded Document,PRVaboures,Document Published successfully to Live server,2015-01-30 14:37:00.127,pdf,
Employee Work Related Injury or Illness,38903,Policies,Answer Docs Access | EnwisenAdmin | HR | LCM | SFV | ,Administration | General | ,Domain:employment | Subject:eepolicy8 | ,Uploaded Document,RKarath,Document Published successfully to Live server,2014-07-03 21:04:33.433,pdf,
Employees Responsibilities,a8db8,Employment,Answer Docs Access | EnwisenAdmin | HR | PL380 | ,Administration | General | ,Domain:employment | Subject:eepolicy4 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:25:59.660,pdf,
Employment at Will,66ac3,Employment,Answer Docs Access | EnwisenAdmin | HR | PL439 | PL480 | PL481 | PL489 | PL490 | PL491 | PL493 | PL494 | PL495 | PL496 | PL497 | PSMS-All | ,Administration | General | ,Domain:employment | Subject:eepolicy4 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:25:59.753,pdf,
Employment Classifications,c4cc0,Employment,Answer Docs Access | EnwisenAdmin | HR | PL375 | ,Administration | General | ,Domain:employment | Subject:eepolicy4 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:25:59.813,pdf,
Employment Eligibility Verification I-9 ,6d133,Forms,Answer Docs Access | EnwisenAdmin | HR | SMG | ,Administration | General | ,Domain:forms | Subject:newhire | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:07:44.547,pdf,
Employment Health Requirements,ffe7f,Employment,Answer Docs Access | EnwisenAdmin | HR | WA34 | WA65 | WA66 | ,Administration | General | ,Domain:employment | Subject:eepolicy8 | ,Uploaded Document,PRVaboures,Document Published successfully to Live server,2015-07-24 20:05:04.020,pdf,
Performance and Development Process,fca21c58,Employment,Answer Docs Access | EnwisenAdmin | HR | PL412 | ,Administration | General | ,Domain:employment | Subject:eepolicy4 | ,Uploaded Document,cpeterson,Assigned Group : EnwisenAdmin,2015-05-11 15:10:58.577,pdf,
Performance Appraisal -  Hourly Employee,13250,Manager,Answer Docs Access | EDM | EnwisenAdmin | HR | ,Administration | General | ,Subject:manager | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:21:50.060,pdf,
Performance Concerns During Probationary Period No Extension,f14c9,Manager,Answer Docs Access | EnwisenAdmin | HR | SMC | ,Administration | General | ,Subject:manager | ,Uploaded Document,cpeterson,Document Published successfully to Live server,2015-03-04 13:38:51.857,doc,
Performance Evaluation Form - Clinical and Technical Positions,2c8eefaa,Forms,Answer Docs Access | EnwisenAdmin | HR | PL735 | PL736 | ,Administration | General | ,Subject:manager | ,Uploaded Document,PRVkzastrow,Document Published successfully to Live server,2014-07-23 17:31:42.943,pdf,Performance Evaluation Form - Clinical and Technical Positions
Performance Evaluation Form - Clinical Nurse Positions,1e650431,Forms,Answer Docs Access | EnwisenAdmin | HR | PL735 | PL736 | ,Administration | General | ,Subject:manager | ,Uploaded Document,PRVkzastrow,Document Published successfully to Live server,2014-07-23 17:33:54.890,pdf,Performance Evaluation Form - Clinical Nurse Positions
Performance Evaluations,557e896f,Employment,Answer Docs Access | EnwisenAdmin | HR | WA113 | WA132 | ,Administration | General | ,Domain:employment | Subject:eepolicy4 | ,Uploaded Document,PRVaboures,Document Published successfully to Live server,2015-07-20 19:56:50.123,pdf,
Performance Management,cf213,Employment,Answer Docs Access | EnwisenAdmin | HR | OR | ,Administration | General | ,Domain:employment | Subject:eepolicy4 | ,Uploaded Document,PRVaboures,Document Published successfully to Live server,2014-11-14 15:35:17.417,pdf,
Performance Review - Exempt or Non-Exempt,e0669,Manager,Answer Docs Access | EnwisenAdmin | HR | PL480 | ,Administration | General | ,Subject:manager | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:21:50.370,doc,
Performance Review Forms,51adcdc5,Integration,Answer Docs Access | EnwisenAdmin | HR | PL315 | ,Administration | General | ,Domain:integration | keywords:[*keywords*] | Role:[*role*] | Role:[*role1*] | Role:[*role2*] | Subject:[*subject*] | Subject:[*subject2*] | ,Content Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:15:02.147,,http://nwsa.wa.providence.org/PROVPG/index.cfm?fuseaction=comit.displayPage&pageid=29492

Personal and Family Relationships,206b3,Employment,Answer Docs Access | EnwisenAdmin | HR | PL410 | ,Administration | General | ,Domain:employment | Subject:eepolicy4 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:51:48.053,pdf,
Jury Duty and Witness Leave,b3b95600,Employment,Answer Docs Access | EnwisenAdmin | HR | PL737 | ,Administration | General | ,Domain:employment | Subject:eepolicy1 | ,Uploaded Document,RKarath,Assigned Group : EnwisenAdmin,2014-07-30 12:38:12.237,pdf,
Jury Duty or Witness Leave,849a2,Employment,Answer Docs Access | EnwisenAdmin | HR | SMC | ,Administration | General | ,Domain:employment | Subject:eepolicy1 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:44:30.890,pdf,
